RD_east,RD_north,latitude,longitude,osm_class,osm_type
92550.0,434850.0,51.8986545378,4.4798413378,place,house
92550.0,434950.0,51.8995532739,4.4798232032,place,house
92550.0,435050.0,51.9004520098,4.4798050678,highway,footway
92550.0,435150.0,51.9013507457,4.4797869315,place,house
92550.0,435250.0,51.9022494815,4.4797687943,highway,footway
92550.0,435350.0,51.9031482171,4.4797506564,highway,footway
92550.0,435450.0,51.9040469527,4.4797325176,highway,footway
92550.0,435550.0,51.9049456881,4.4797143779,leisure,marina
92550.0,435650.0,51.9058444234,4.4796962375,leisure,marina
92550.0,435750.0,51.9067431586,4.4796780961,leisure,marina
92550.0,435850.0,51.9076418937,4.479659954,amenity,vending_machine
92550.0,435950.0,51.9085406287,4.4796418110000005,place,house
92550.0,436050.0,51.9094393635,4.4796236672,place,house
92550.0,436150.0,51.9103380983,4.4796055226,amenity,bench
92550.0,436250.0,51.9112368329,4.4795873771,place,house
92550.0,436350.0,51.9121355675,4.4795692307,highway,primary
92550.0,436450.0,51.9130343019,4.4795510836,place,house
92550.0,436550.0,51.9139330362,4.4795329356,amenity,school
92550.0,436650.0,51.9148317704,4.4795147867,amenity,place_of_worship
92550.0,436750.0,51.9157305045,4.4794966371000005,place,house
92550.0,436850.0,51.9166292385,4.4794784866,place,house
92550.0,436950.0,51.9175279723,4.4794603352,highway,secondary
92550.0,437050.0,51.9184267061,4.479442183,amenity,fast_food
92550.0,437150.0,51.9193254397,4.47942403,place,house
92550.0,437250.0,51.9202241732,4.4794058762,highway,pedestrian
92550.0,437350.0,51.9211229066,4.4793877215,place,house
92550.0,437450.0,51.9220216399,4.4793695659,man_made,tower
92550.0,437550.0,51.9229203731,4.4793514096000004,amenity,townhall
92550.0,437650.0,51.9238191062,4.4793332524,place,house
92550.0,437750.0,51.9247178391,4.4793150943,highway,construction
92550.0,437850.0,51.925616572,4.4792969354,highway,footway
92550.0,437950.0,51.9265153047,4.4792787757,leisure,garden
92550.0,438050.0,51.9274140373,4.4792606152,leisure,garden
92550.0,438150.0,51.9283127698,4.4792424538,amenity,parking
92550.0,438250.0,51.9292115022,4.4792242915000005,leisure,garden
92550.0,438350.0,51.9301102345,4.4792061285,place,house
92550.0,438450.0,51.9310089666,4.4791879646,place,house
92550.0,438550.0,51.9319076987,4.4791697998,place,house
92550.0,438650.0,51.9328064306,4.4791516343,place,house
92550.0,438750.0,51.9337051624,4.4791334678,place,house
92550.0,438850.0,51.9346038941,4.4791153006,place,house
92650.0,432850.0,51.8806909966,4.4816560413,leisure,garden
92650.0,432950.0,51.8815897352,4.4816379524,highway,cycleway
92650.0,433050.0,51.8824884736,4.4816198626,highway,secondary
92650.0,433150.0,51.883387212,4.481601772,highway,cycleway
92650.0,433250.0,51.8842859502,4.4815836806,place,house
92650.0,433350.0,51.8851846884,4.4815655884,highway,footway
92650.0,433450.0,51.8860834264,4.4815474953,place,house
92650.0,433550.0,51.8869821643,4.4815294014000004,place,house
92650.0,433650.0,51.8878809021,4.4815113066,place,house
92650.0,433750.0,51.8887796398,4.481493211,place,house
92650.0,433850.0,51.8896783774,4.4814751146,place,house
92650.0,433950.0,51.8905771149,4.4814570174,place,house
92650.0,434050.0,51.8914758523,4.4814389193,place,house
92650.0,434150.0,51.8923745895,4.4814208204,place,house
92650.0,434250.0,51.8932733267,4.4814027206,place,house
92650.0,434350.0,51.8941720637,4.48138462,place,house
92650.0,434450.0,51.8950708007,4.4813665186,place,house
92650.0,434550.0,51.8959695375,4.4813484164,place,house
92650.0,434650.0,51.8968682742,4.4813303133,emergency,life_ring
92650.0,434750.0,51.8977670108,4.4813122094,highway,pedestrian
92650.0,434850.0,51.8986657473,4.4812941046,place,house
92650.0,434950.0,51.8995644837,4.481275999,highway,footway
92650.0,435050.0,51.9004632199,4.4812578926,place,house
92650.0,435150.0,51.9013619561,4.4812397853,highway,residential
92650.0,435250.0,51.9022606922,4.4812216773,amenity,taxi
92650.0,435350.0,51.9031594281,4.4812035683,amenity,bench
92650.0,435450.0,51.9040581639,4.4811854586,highway,pedestrian
92650.0,435550.0,51.9049568996,4.481167348,highway,pedestrian
92650.0,435650.0,51.9058556352,4.4811492365,leisure,marina
92650.0,435750.0,51.9067543707,4.4811311243,man_made,pier
92650.0,435850.0,51.9076531061,4.4811130112,man_made,pier
92650.0,435950.0,51.9085518414,4.4810948972,amenity,dentist
92650.0,436050.0,51.9094505766,4.4810767825,place,house
92650.0,436150.0,51.9103493116,4.4810586669,place,house
92650.0,436250.0,51.9112480465,4.4810405504,amenity,parking
92650.0,436350.0,51.9121467814,4.4810224331,highway,primary
92650.0,436450.0,51.9130455161,4.481004315,place,house
92650.0,436550.0,51.9139442507,4.4809861961,place,house
92650.0,436650.0,51.9148429852,4.4809680763,place,house
92650.0,436750.0,51.9157417195,4.4809499557,place,house
92650.0,436850.0,51.9166404538,4.4809318342,place,house
92650.0,436950.0,51.917539188,4.480913712,highway,cycleway
92650.0,437050.0,51.918437922,4.4808955888,place,house
92650.0,437150.0,51.9193366559,4.4808774649,place,house
92650.0,437250.0,51.9202353897,4.4808593401,highway,pedestrian
92650.0,437350.0,51.9211341234,4.4808412145,shop,clothes
92650.0,437450.0,51.922032857,4.480823088,place,house
92650.0,437550.0,51.9229315905,4.4808049607000004,place,house
92650.0,437650.0,51.9238303238,4.4807868325,place,house
92650.0,437750.0,51.9247290571,4.4807687036,place,house
92650.0,437850.0,51.9256277902,4.4807505738,leisure,dog_park
92650.0,437950.0,51.9265265232,4.4807324431,place,house
92650.0,438050.0,51.9274252562,4.4807143116,amenity,archive
92650.0,438150.0,51.9283239889,4.4806961793,place,house
92650.0,438250.0,51.9292227216,4.4806780462,place,house
92650.0,438350.0,51.9301214542,4.4806599122,place,house
92650.0,438450.0,51.9310201866,4.4806417774,place,house
92650.0,438550.0,51.931918919,4.4806236417,place,house
92650.0,438650.0,51.9328176512,4.4806055052,place,house
92650.0,438750.0,51.9337163833,4.4805873679,place,house
92650.0,438850.0,51.9346151153,4.4805692297,place,house
92750.0,432850.0,51.8807021823,4.4831082285,place,house
92750.0,432950.0,51.8816009212,4.4830901686,place,house
92750.0,433050.0,51.88249966,4.4830721079,highway,cycleway
92750.0,433150.0,51.8833983986,4.4830540463,highway,secondary
92750.0,433250.0,51.8842971371,4.4830359839,place,house
92750.0,433350.0,51.8851958756,4.4830179207,amenity,school
92750.0,433450.0,51.8860946139,4.4829998566,place,house
92750.0,433550.0,51.8869933521,4.4829817917,place,house
92750.0,433650.0,51.8878920902,4.482963726,leisure,playground
92750.0,433750.0,51.8887908282,4.4829456594,place,house
92750.0,433850.0,51.8896895661,4.482927592,place,house
92750.0,433950.0,51.8905883038,4.4829095238,place,house
92750.0,434050.0,51.8914870415,4.4828914547,place,house
92750.0,434150.0,51.892385779,4.4828733848,place,house
92750.0,434250.0,51.8932845165,4.4828553141,amenity,school
92750.0,434350.0,51.8941832538,4.4828372425,place,house
92750.0,434450.0,51.8950819911,4.4828191701,highway,service
92750.0,434550.0,51.8959807282,4.4828010969,highway,service
92750.0,434650.0,51.8968794652,4.4827830229,emergency,life_ring
92750.0,434750.0,51.8977782021,4.482764948,emergency,life_ring
92750.0,434850.0,51.8986769388,4.4827468722,highway,pedestrian
92750.0,434950.0,51.8995756755,4.4827287957,leisure,picnic_table
92750.0,435050.0,51.9004744121,4.4827107183,amenity,parking
92750.0,435150.0,51.9013731485,4.4826926401,place,house
92750.0,435250.0,51.9022718849,4.482674561,tourism,museum
92750.0,435350.0,51.9031706211,4.4826564811,highway,pedestrian
92750.0,435450.0,51.9040693572,4.4826384004,highway,pedestrian
